City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
6,Albany,US,75.0,clear sky,42.6,-73.97,
8,Ugoofaaru,MV,83.16,broken clouds,5.67,73.0,Ungoofaaru Inn
9,Shuangcheng,CN,78.01,broken clouds,45.35,126.28,Xingcheng Hotel
10,Vanimo,PG,86.85,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
15,Ashland,US,75.99,clear sky,40.82,-82.27,Holiday Inn Express & Suites Ashland
16,Bethel,US,77.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
20,Karratha,AU,87.37,clear sky,-20.74,116.85,ibis Styles Karratha
24,Isangel,VU,78.8,broken clouds,-19.55,169.27,Volcano Sea View Tree House
26,Rincon,US,80.6,overcast clouds,32.3,-81.24,Bent tree subdivision
36,Port Blair,IN,83.39,overcast clouds,11.67,92.75,Fortune Resort Bay Island
45,Morant Bay,JM,84.2,thunderstorm,17.88,-76.41,Whispering Bamboo Cove Resort
47,Praia Da Vitoria,PT,75.2,few clouds,38.73,-27.07,Hotel Branco I
49,Katsuura,JP,90.0,few clouds,35.13,140.3,Katsuura Hotel Mikazuki
52,Galesong,ID,89.6,few clouds,-5.32,119.37,Sapriadi Appy
56,Atuona,PF,78.37,few clouds,-9.8,-139.03,Villa Enata
57,Kamaishi,JP,82.4,broken clouds,39.27,141.88,Hotel Route Inn Kamaishi
59,Bathsheba,BB,82.4,few clouds,13.22,-59.52,Atlantis Hotel
60,Jiangyou,CN,80.06,clear sky,31.77,104.72,Shangping Shuyuan Inn
61,Poso,ID,86.94,clear sky,-1.4,120.75,Hotel 77 Poso
63,Kapaa,US,86.0,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
65,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
68,Bud,US,80.01,clear sky,39.45,-86.18,Madsion Scouts Camp
69,Aquidauana,BR,75.15,clear sky,-20.47,-55.79,HOTEL ARARAS
72,Mehriz,IR,77.0,clear sky,31.59,54.43,Mehrgard dwelling/سرای مهرگرد
76,Butaritari,KI,81.95,overcast clouds,3.07,172.79,Isles Sunset Lodge
80,Portland,US,75.0,clear sky,45.52,-122.68,Portland Marriott City Center
87,Meulaboh,ID,81.43,clear sky,4.14,96.13,Kost Pria
89,San Antonio,US,87.8,clear sky,29.42,-98.49,Marriott Plaza San Antonio
98,Hithadhoo,MV,83.21,overcast clouds,-0.6,73.08,Scoop Guest House
102,Bikaner,IN,82.58,clear sky,28.02,73.3,The Laxmi Niwas Palace
105,Huangchuan,CN,81.64,clear sky,32.13,115.04,Guangzhou International Hotel
115,Hilo,US,84.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
121,Araouane,ML,85.05,moderate rain,18.9,-3.53,
122,Pasighat,IN,86.86,clear sky,28.07,95.33,Siang Guest House
123,Avarua,CK,77.0,broken clouds,-21.21,-159.78,Paradise Inn
127,Mae Sai,TH,77.0,broken clouds,20.43,99.88,Piyaporn Hill Paradise Hotel
130,Puerto Del Rosario,ES,77.0,clear sky,28.5,-13.86,Hotel JM Puerto del Rosario
133,Nagato,JP,87.8,few clouds,34.38,131.2,いそう庵
134,Lakatoro,VU,84.2,broken clouds,-16.1,167.42,Lakatoro Palm Lodge
139,Iquitos,PE,75.47,overcast clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
140,Marsa Matruh,EG,77.0,few clouds,31.35,27.25,Beau Site
144,Santa Isabel Do Rio Negro,BR,78.6,broken clouds,-0.41,-65.02,Hotel GSA
146,Moengo,SR,75.02,clear sky,5.62,-54.4,Masanga
149,Mogadishu,SO,76.35,light rain,2.04,45.34,Hotel Juba
156,Kavieng,PG,83.64,clear sky,-2.57,150.8,Nusa Island Retreat
160,Mecca,SA,88.03,scattered clouds,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
166,Bengkulu,ID,82.49,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
168,La Orilla,MX,80.04,overcast clouds,17.98,-102.23,Baymont by Wyndham Lazaro Cardenas
170,Berbera,SO,90.0,clear sky,10.44,45.01,Damal Hotel
171,Sabang,ID,83.79,overcast clouds,5.89,95.32,Hotel Citra
174,Westport,US,80.6,clear sky,41.14,-73.36,The Westport Inn
178,Cabo San Lucas,MX,86.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
183,Sao Filipe,CV,78.03,few clouds,14.9,-24.5,Tortuga B&B
186,Medicine Hat,CA,86.0,overcast clouds,50.05,-110.67,Ramada Limited Medicine Hat
191,Dicabisagan,PH,88.84,overcast clouds,17.08,122.42,
192,Hobyo,SO,75.85,overcast clouds,5.35,48.53,Osmani Hotel
193,Los Llanos De Aridane,ES,77.0,few clouds,28.66,-17.92,Valle Aridane
194,Sijunjung,ID,78.35,overcast clouds,-0.69,100.95,Hotel Bukik Gadang
