City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2020-08-21 20:57:59,-54.8,-68.3,44.6,70,75,17.22
1,Magole,TZ,2020-08-21 21:00:26,-6.37,37.37,82.4,58,40,4.05
2,Biak,ID,2020-08-21 21:00:26,-0.91,122.88,75.43,80,31,5.91
3,Chenghai,CN,2020-08-21 21:00:26,23.46,116.77,78.8,94,20,2.24
4,Hobart,AU,2020-08-21 20:56:14,-42.88,147.33,36.0,86,20,9.17
5,Hilo,US,2020-08-21 20:56:08,19.73,-155.09,82.4,65,75,10.29
6,Butaritari,KI,2020-08-21 21:00:27,3.07,172.79,81.86,67,100,1.95
7,New Norfolk,AU,2020-08-21 21:00:27,-42.78,147.06,36.0,90,2,2.15
8,Severo-Kurilsk,RU,2020-08-21 21:00:28,50.68,156.12,55.02,71,18,9.37
9,Port Alfred,ZA,2020-08-21 21:00:28,-33.59,26.89,58.48,74,26,13.73
10,Cayenne,GF,2020-08-21 20:59:28,4.93,-52.33,86.0,66,90,6.93
11,Mataura,NZ,2020-08-21 21:00:28,-46.19,168.86,50.0,97,76,4.0
12,Cape Town,ZA,2020-08-21 21:00:28,-33.93,18.42,51.8,93,18,1.12
13,Chamrajnagar,IN,2020-08-21 21:00:29,11.92,76.95,70.25,91,34,2.48
14,Jamestown,US,2020-08-21 20:56:30,42.1,-79.24,80.01,54,20,3.36
15,Havelock,US,2020-08-21 20:55:33,34.88,-76.9,82.99,74,75,6.93
16,Klaksvik,FO,2020-08-21 21:00:29,62.23,-6.59,51.8,93,83,14.99
17,Saskylakh,RU,2020-08-21 21:00:30,71.92,114.08,34.63,91,3,3.83
18,Nikolskoye,RU,2020-08-21 21:00:30,59.7,30.79,62.6,67,0,2.24
19,Shitkino,RU,2020-08-21 21:00:30,56.37,98.35,59.11,73,100,4.09
20,Port-Cartier,CA,2020-08-21 21:00:30,50.03,-66.87,69.8,35,40,12.75
21,Lebu,CL,2020-08-21 21:00:30,-37.62,-73.65,52.32,75,0,15.26
22,Ylivieska,FI,2020-08-21 21:00:31,64.08,24.55,64.99,81,53,3.0
